index,type,class_idx,feature_idx
15951,weight,7,1615
15959,weight,7,1623
15970,weight,7,1634
16004,weight,7,1668
16035,weight,7,1699
16065,weight,7,1729
16075,weight,7,1739
16145,weight,7,1809
16164,weight,7,1828
16170,weight,7,1834
16172,weight,7,1836
16198,weight,7,1862
16231,weight,7,1895
16277,weight,7,1941
16307,weight,7,1971
16320,weight,7,1984
16330,weight,7,1994
16354,weight,7,2018
16378,weight,7,2042
16393,weight,8,9
16425,weight,8,41
16436,weight,8,52
16443,weight,8,59
16465,weight,8,81
16485,weight,8,101
16516,weight,8,132
16521,weight,8,137
16526,weight,8,142
16536,weight,8,152
16567,weight,8,183
16636,weight,8,252
16662,weight,8,278
16670,weight,8,286
16703,weight,8,319
16731,weight,8,347
16771,weight,8,387
16810,weight,8,426
16874,weight,8,490
16899,weight,8,515
16959,weight,8,575
16974,weight,8,590
16998,weight,8,614
17009,weight,8,625
17014,weight,8,630
17016,weight,8,632
17018,weight,8,634
17026,weight,8,642
17028,weight,8,644
17030,weight,8,646
17077,weight,8,693
17092,weight,8,708
17097,weight,8,713
17168,weight,8,784
17185,weight,8,801
17197,weight,8,813
17207,weight,8,823
17247,weight,8,863
17285,weight,8,901
17292,weight,8,908
17294,weight,8,910
17300,weight,8,916
17308,weight,8,924
17319,weight,8,935
17324,weight,8,940
17351,weight,8,967
17383,weight,8,999
17437,weight,8,1053
17448,weight,8,1064
17453,weight,8,1069
17474,weight,8,1090
17507,weight,8,1123
17526,weight,8,1142
17551,weight,8,1167
17587,weight,8,1203
17595,weight,8,1211
17602,weight,8,1218
17606,weight,8,1222
17607,weight,8,1223
17675,weight,8,1291
17686,weight,8,1302
17698,weight,8,1314
17701,weight,8,1317
17713,weight,8,1329
17717,weight,8,1333
17765,weight,8,1381
17798,weight,8,1414
17809,weight,8,1425
17813,weight,8,1429
17838,weight,8,1454
17842,weight,8,1458
17845,weight,8,1461
17846,weight,8,1462
17880,weight,8,1496
17882,weight,8,1498
17906,weight,8,1522
17917,weight,8,1533
17922,weight,8,1538
17932,weight,8,1548
17939,weight,8,1555
17966,weight,8,1582
17980,weight,8,1596
18003,weight,8,1619
18007,weight,8,1623
18018,weight,8,1634
18035,weight,8,1651
18039,weight,8,1655
18067,weight,8,1683
18083,weight,8,1699
18106,weight,8,1722
18107,weight,8,1723
18123,weight,8,1739
18142,weight,8,1758
18157,weight,8,1773
18193,weight,8,1809
18218,weight,8,1834
18220,weight,8,1836
18232,weight,8,1848
18233,weight,8,1849
18248,weight,8,1864
18279,weight,8,1895
18296,weight,8,1912
18297,weight,8,1913
18376,weight,8,1992
18378,weight,8,1994
18402,weight,8,2018
18418,weight,8,2034
18422,weight,8,2038
18445,weight,9,13
18537,weight,9,105
18808,weight,9,376
19040,weight,9,608
19135,weight,9,703
19356,weight,9,924
19359,weight,9,927
19475,weight,9,1043
19481,weight,9,1049
19496,weight,9,1064
19706,weight,9,1274
19769,weight,9,1337
19843,weight,9,1411
19973,weight,9,1541
19999,weight,9,1567
20348,weight,9,1916
20450,weight,9,2018
20484,weight,10,4
20488,weight,10,8
20492,weight,10,12
20494,weight,10,14
20495,weight,10,15
20497,weight,10,17
20500,weight,10,20
20504,weight,10,24
20507,weight,10,27
20509,weight,10,29
20516,weight,10,36
20517,weight,10,37
20524,weight,10,44
20526,weight,10,46
20528,weight,10,48
20530,weight,10,50
20532,weight,10,52
20535,weight,10,55
20540,weight,10,60
20541,weight,10,61
20550,weight,10,70
20551,weight,10,71
20553,weight,10,73
20556,weight,10,76
20559,weight,10,79
20562,weight,10,82
20579,weight,10,99
20581,weight,10,101
20587,weight,10,107
20591,weight,10,111
20598,weight,10,118
20599,weight,10,119
20600,weight,10,120
20603,weight,10,123
20613,weight,10,133
20615,weight,10,135
20617,weight,10,137
20619,weight,10,139
20620,weight,10,140
20621,weight,10,141
20628,weight,10,148
20634,weight,10,154
20636,weight,10,156
20646,weight,10,166
20647,weight,10,167
20653,weight,10,173
20654,weight,10,174
20662,weight,10,182
20665,weight,10,185
20666,weight,10,186
20668,weight,10,188
20669,weight,10,189
20678,weight,10,198
20684,weight,10,204
20688,weight,10,208
20694,weight,10,214
20698,weight,10,218
20711,weight,10,231
20718,weight,10,238
20723,weight,10,243
20726,weight,10,246
20729,weight,10,249
20735,weight,10,255
20739,weight,10,259
20747,weight,10,267
20756,weight,10,276
20757,weight,10,277
20761,weight,10,281
20765,weight,10,285
20766,weight,10,286
20767,weight,10,287
20770,weight,10,290
20772,weight,10,292
20773,weight,10,293
20780,weight,10,300
20783,weight,10,303
20791,weight,10,311
20792,weight,10,312
20795,weight,10,315
20802,weight,10,322
20804,weight,10,324
20814,weight,10,334
20823,weight,10,343
20826,weight,10,346
20827,weight,10,347
20829,weight,10,349
20848,weight,10,368
20849,weight,10,369
20860,weight,10,380
20869,weight,10,389
20874,weight,10,394
20877,weight,10,397
20889,weight,10,409
20891,weight,10,411
20898,weight,10,418
20901,weight,10,421
20910,weight,10,430
20916,weight,10,436
20917,weight,10,437
20925,weight,10,445
20926,weight,10,446
20929,weight,10,449
20933,weight,10,453
20934,weight,10,454
20936,weight,10,456
20943,weight,10,463
20945,weight,10,465
20948,weight,10,468
20954,weight,10,474
20961,weight,10,481
20970,weight,10,490
20974,weight,10,494
20979,weight,10,499
20980,weight,10,500
20981,weight,10,501
20986,weight,10,506
20988,weight,10,508
20989,weight,10,509
20990,weight,10,510
20995,weight,10,515
20996,weight,10,516
20997,weight,10,517
21003,weight,10,523
21006,weight,10,526
21007,weight,10,527
21009,weight,10,529
21011,weight,10,531
21018,weight,10,538
21019,weight,10,539
21034,weight,10,554
21037,weight,10,557
21043,weight,10,563
21052,weight,10,572
21053,weight,10,573
21056,weight,10,576
21058,weight,10,578
21059,weight,10,579
21061,weight,10,581
21066,weight,10,586
21068,weight,10,588
21069,weight,10,589
21070,weight,10,590
21074,weight,10,594
21075,weight,10,595
21076,weight,10,596
21079,weight,10,599
21117,weight,10,637
21121,weight,10,641
21123,weight,10,643
21124,weight,10,644
21126,weight,10,646
21127,weight,10,647
21128,weight,10,648
21130,weight,10,650
21133,weight,10,653
21134,weight,10,654
21141,weight,10,661
21143,weight,10,663
21144,weight,10,664
21146,weight,10,666
21151,weight,10,671
21153,weight,10,673
21160,weight,10,680
21161,weight,10,681
21165,weight,10,685
21167,weight,10,687
21182,weight,10,702
21186,weight,10,706
21188,weight,10,708
21191,weight,10,711
21202,weight,10,722
21203,weight,10,723
21214,weight,10,734
21218,weight,10,738
21222,weight,10,742
21225,weight,10,745
21226,weight,10,746
21230,weight,10,750
21235,weight,10,755
21241,weight,10,761
21242,weight,10,762
21246,weight,10,766
21251,weight,10,771
21256,weight,10,776
21265,weight,10,785
21267,weight,10,787
21273,weight,10,793
21280,weight,10,800
21282,weight,10,802
21284,weight,10,804
21285,weight,10,805
21286,weight,10,806
21292,weight,10,812
21296,weight,10,816
21299,weight,10,819
21302,weight,10,822
21304,weight,10,824
21319,weight,10,839
21322,weight,10,842
21342,weight,10,862
21343,weight,10,863
21347,weight,10,867
21355,weight,10,875
21357,weight,10,877
21358,weight,10,878
21359,weight,10,879
21364,weight,10,884
21367,weight,10,887
21371,weight,10,891
21376,weight,10,896
21379,weight,10,899
21382,weight,10,902
21387,weight,10,907
21397,weight,10,917
21404,weight,10,924
21414,weight,10,934
21416,weight,10,936
21418,weight,10,938
21422,weight,10,942
21427,weight,10,947
21432,weight,10,952
21435,weight,10,955
21450,weight,10,970
21453,weight,10,973
21455,weight,10,975
21460,weight,10,980
21468,weight,10,988
21478,weight,10,998
21483,weight,10,1003
21495,weight,10,1015
21501,weight,10,1021
21508,weight,10,1028
21512,weight,10,1032
21528,weight,10,1048
21540,weight,10,1060
21551,weight,10,1071
21552,weight,10,1072
21554,weight,10,1074
21555,weight,10,1075
21559,weight,10,1079
21561,weight,10,1081
21563,weight,10,1083
21565,weight,10,1085
21566,weight,10,1086
21567,weight,10,1087
21572,weight,10,1092
21575,weight,10,1095
21576,weight,10,1096
21579,weight,10,1099
21581,weight,10,1101
21586,weight,10,1106
21587,weight,10,1107
21588,weight,10,1108
21597,weight,10,1117
21612,weight,10,1132
21618,weight,10,1138
21620,weight,10,1140
21621,weight,10,1141
21625,weight,10,1145
21630,weight,10,1150
21639,weight,10,1159
21644,weight,10,1164
21650,weight,10,1170
21655,weight,10,1175
21667,weight,10,1187
21671,weight,10,1191
21674,weight,10,1194
21678,weight,10,1198
21691,weight,10,1211
21702,weight,10,1222
21706,weight,10,1226
21710,weight,10,1230
21715,weight,10,1235
21716,weight,10,1236
21721,weight,10,1241
21726,weight,10,1246
21729,weight,10,1249
21736,weight,10,1256
21740,weight,10,1260
21744,weight,10,1264
21746,weight,10,1266
21753,weight,10,1273
21758,weight,10,1278
21761,weight,10,1281
21764,weight,10,1284
21768,weight,10,1288
21771,weight,10,1291
21773,weight,10,1293
21781,weight,10,1301
21782,weight,10,1302
21783,weight,10,1303
21788,weight,10,1308
21793,weight,10,1313
21794,weight,10,1314
21796,weight,10,1316
21802,weight,10,1322
21807,weight,10,1327
21810,weight,10,1330
21813,weight,10,1333
21817,weight,10,1337
21825,weight,10,1345
21837,weight,10,1357
21838,weight,10,1358
21842,weight,10,1362
21847,weight,10,1367
21848,weight,10,1368
21849,weight,10,1369
21852,weight,10,1372
21857,weight,10,1377
21859,weight,10,1379
21860,weight,10,1380
21864,weight,10,1384
21865,weight,10,1385
21868,weight,10,1388
21877,weight,10,1397
21893,weight,10,1413
21899,weight,10,1419
21900,weight,10,1420
21902,weight,10,1422
21903,weight,10,1423
21909,weight,10,1429
21911,weight,10,1431
21917,weight,10,1437
21920,weight,10,1440
21926,weight,10,1446
21927,weight,10,1447
21942,weight,10,1462
21943,weight,10,1463
21950,weight,10,1470
21954,weight,10,1474
21956,weight,10,1476
21961,weight,10,1481
21964,weight,10,1484
21966,weight,10,1486
21968,weight,10,1488
21973,weight,10,1493
21987,weight,10,1507
21988,weight,10,1508
21998,weight,10,1518
22002,weight,10,1522
22008,weight,10,1528
22010,weight,10,1530
22011,weight,10,1531
22012,weight,10,1532
22017,weight,10,1537
22022,weight,10,1542
22024,weight,10,1544
22029,weight,10,1549
22036,weight,10,1556
22037,weight,10,1557
22038,weight,10,1558
22040,weight,10,1560
22044,weight,10,1564
22045,weight,10,1565
22054,weight,10,1574
22055,weight,10,1575
22059,weight,10,1579
22060,weight,10,1580
22061,weight,10,1581
22067,weight,10,1587
22071,weight,10,1591
22079,weight,10,1599
22085,weight,10,1605
22086,weight,10,1606
22093,weight,10,1613
22095,weight,10,1615
22097,weight,10,1617
22119,weight,10,1639
22130,weight,10,1650
22134,weight,10,1654
22144,weight,10,1664
22145,weight,10,1665
22146,weight,10,1666
22150,weight,10,1670
22152,weight,10,1672
22153,weight,10,1673
22165,weight,10,1685
